tanggal;propinsi;nilai;kategori;pulau
2020-03-19;Bali;1;Terkonfirmasi;Sunda Kecil
2020-03-19;Banten;27;Terkonfirmasi;Jawa
2020-03-19;Yogyakarta;5;Terkonfirmasi;Jawa
2020-03-19;Jakarta;210;Terkonfirmasi;Jawa
2020-03-19;Jawa Barat;26;Terkonfirmasi;Jawa
2020-03-19;Jawa Tengah;12;Terkonfirmasi;Jawa
2020-03-19;Jawa Timur;9;Terkonfirmasi;Jawa
2020-03-19;Kalimantan Barat;2;Terkonfirmasi;Kalimantan
2020-03-19;Kalimantan Timur;3;Terkonfirmasi;Kalimantan
2020-03-19;Kepulauan Riau;3;Terkonfirmasi;Sumatera
2020-03-19;Sulawesi Utara;1;Terkonfirmasi;Sulawesi
2020-03-19;Sumatera Utara;2;Terkonfirmasi;Sumatera
2020-03-19;Sulawesi Tenggara;3;Terkonfirmasi;Sulawesi
2020-03-19;Sulawesi Selatan;2;Terkonfirmasi;Sulawesi
2020-03-19;Lampung;1;Terkonfirmasi;Sumatera
2020-03-19;Riau;2;Terkonfirmasi;Sumatera
2020-03-19;Bali;1;Kematian;Sunda Kecil
2020-03-19;Banten;1;Kematian;Jawa
2020-03-19;Yogyakarta;0;Kematian;Jawa
2020-03-19;Jakarta;17;Kematian;Jawa
2020-03-19;Jawa Barat;1;Kematian;Jawa
2020-03-19;Jawa Tengah;3;Kematian;Jawa
2020-03-19;Jawa Timur;1;Kematian;Jawa
2020-03-19;Kalimantan Barat;0;Kematian;Kalimantan
2020-03-19;Kalimantan Timur;0;Kematian;Kalimantan
2020-03-19;Kepulauan Riau;0;Kematian;Sumatera
2020-03-19;Sulawesi Utara;0;Kematian;Sulawesi
2020-03-19;Sumatera Utara;1;Kematian;Sumatera
2020-03-19;Sulawesi Tenggara;0;Kematian;Sulawesi
2020-03-19;Sulawesi Selatan;0;Kematian;Sulawesi
2020-03-19;Lampung;0;Kematian;Sumatera
2020-03-19;Riau;0;Kematian;Sumatera
2020-03-20;Bali;4;Terkonfirmasi;Sunda Kecil
2020-03-20;Banten;37;Terkonfirmasi;Jawa
2020-03-20;Yogyakarta;4;Terkonfirmasi;Jawa
2020-03-20;Jakarta;215;Terkonfirmasi;Jawa
2020-03-20;Jawa Barat;41;Terkonfirmasi;Jawa
2020-03-20;Jawa Tengah;12;Terkonfirmasi;Jawa
2020-03-20;Jawa Timur;15;Terkonfirmasi;Jawa
2020-03-20;Kalimantan Barat;2;Terkonfirmasi;Kalimantan
2020-03-20;Kalimantan Timur;10;Terkonfirmasi;Kalimantan
2020-03-20;Kalimantan Tengah;2;Terkonfirmasi;Kalimantan
2020-03-20;Kepulauan Riau;4;Terkonfirmasi;Sumatera
2020-03-20;Sulawesi Utara;1;Terkonfirmasi;Sulawesi
2020-03-20;Sumatera Utara;2;Terkonfirmasi;Sumatera
2020-03-20;Sulawesi Tenggara;3;Terkonfirmasi;Sulawesi
2020-03-20;Sulawesi Selatan;2;Terkonfirmasi;Sulawesi
2020-03-20;Lampung;1;Terkonfirmasi;Sumatera
2020-03-20;Riau;1;Terkonfirmasi;Sumatera
2020-03-20;Bali;1;Kematian;Sunda Kecil
2020-03-20;Banten;1;Kematian;Jawa
2020-03-20;Yogyakarta;0;Kematian;Jawa
2020-03-20;Jakarta;18;Kematian;Jawa
2020-03-20;Jawa Barat;7;Kematian;Jawa
2020-03-20;Jawa Tengah;3;Kematian;Jawa
2020-03-20;Jawa Timur;1;Kematian;Jawa
2020-03-20;Kalimantan Barat;0;Kematian;Kalimantan
2020-03-20;Kalimantan Timur;0;Kematian;Kalimantan
2020-03-20;Kalimantan Tengah;0;Kematian;Kalimantan
2020-03-20;Kepulauan Riau;0;Kematian;Sumatera
2020-03-20;Sulawesi Utara;0;Kematian;Sulawesi
2020-03-20;Sumatera Utara;1;Kematian;Sumatera
2020-03-20;Sulawesi Tenggara;0;Kematian;Sulawesi
2020-03-20;Sulawesi Selatan;0;Kematian;Sulawesi
2020-03-20;Lampung;0;Kematian;Sumatera
2020-03-20;Riau;0;Kematian;Sumatera
2020-03-21;Bali;3;Terkonfirmasi;Sunda Kecil
2020-03-21;Banten;43;Terkonfirmasi;Jawa
2020-03-21;Yogyakarta;5;Terkonfirmasi;Jawa
2020-03-21;Jakarta;267;Terkonfirmasi;Jawa
2020-03-21;Jawa Barat;55;Terkonfirmasi;Jawa
2020-03-21;Jawa Tengah;14;Terkonfirmasi;Jawa
2020-03-21;Jawa Timur;26;Terkonfirmasi;Jawa
2020-03-21;Kalimantan Barat;2;Terkonfirmasi;Kalimantan
2020-03-21;Kalimantan Timur;9;Terkonfirmasi;Kalimantan
2020-03-21;Kalimantan Tengah;2;Terkonfirmasi;Kalimantan
2020-03-21;Kepulauan Riau;4;Terkonfirmasi;Sumatera
2020-03-21;Sulawesi Utara;1;Terkonfirmasi;Sulawesi
2020-03-21;Sumatera Utara;2;Terkonfirmasi;Sumatera
2020-03-21;Sulawesi Tenggara;3;Terkonfirmasi;Sulawesi
2020-03-21;Sulawesi Selatan;2;Terkonfirmasi;Sulawesi
2020-03-21;Lampung;1;Terkonfirmasi;Sumatera
2020-03-21;Riau;1;Terkonfirmasi;Sumatera
2020-03-21;Bali;1;Kematian;Sunda Kecil
2020-03-21;Banten;2;Kematian;Jawa
2020-03-21;Yogyakarta;0;Kematian;Jawa
2020-03-21;Jakarta;23;Kematian;Jawa
2020-03-21;Jawa Barat;7;Kematian;Jawa
2020-03-21;Jawa Tengah;3;Kematian;Jawa
2020-03-21;Jawa Timur;1;Kematian;Jawa
2020-03-21;Kalimantan Barat;0;Kematian;Kalimantan
2020-03-21;Kalimantan Timur;0;Kematian;Kalimantan
2020-03-21;Kalimantan Tengah;0;Kematian;Kalimantan
2020-03-21;Kepulauan Riau;0;Kematian;Sumatera
2020-03-21;Sulawesi Utara;0;Kematian;Sulawesi
2020-03-21;Sumatera Utara;1;Kematian;Sumatera
2020-03-21;Sulawesi Tenggara;0;Kematian;Sulawesi
2020-03-21;Sulawesi Selatan;0;Kematian;Sulawesi
2020-03-21;Lampung;0;Kematian;Sumatera
2020-03-21;Riau;0;Kematian;Sumatera
2020-03-22;Bali;3;Terkonfirmasi;Sunda Kecil
2020-03-22;Banten;47;Terkonfirmasi;Jawa
2020-03-22;Yogyakarta;5;Terkonfirmasi;Jawa
2020-03-22;Jakarta;307;Terkonfirmasi;Jawa
2020-03-22;Jawa Barat;59;Terkonfirmasi;Jawa
2020-03-22;Jawa Tengah;15;Terkonfirmasi;Jawa
2020-03-22;Jawa Timur;41;Terkonfirmasi;Jawa
2020-03-22;Kalimantan Barat;2;Terkonfirmasi;Kalimantan
2020-03-22;Kalimantan Timur;9;Terkonfirmasi;Kalimantan
2020-03-22;Kalimantan Tengah;2;Terkonfirmasi;Kalimantan
2020-03-22;Kalimantan Selatan;1;Terkonfirmasi;Kalimantan
2020-03-22;Kepulauan Riau;4;Terkonfirmasi;Sumatera
2020-03-22;Sulawesi Utara;1;Terkonfirmasi;Sulawesi
2020-03-22;Sumatera Utara;2;Terkonfirmasi;Sumatera
2020-03-22;Sulawesi Tenggara;3;Terkonfirmasi;Sulawesi
2020-03-22;Sulawesi Selatan;2;Terkonfirmasi;Sulawesi
2020-03-22;Lampung;1;Terkonfirmasi;Sumatera
2020-03-22;Riau;1;Terkonfirmasi;Sumatera
2020-03-22;Maluku;1;Terkonfirmasi;Maluku
2020-03-22;Papua;2;Terkonfirmasi;Papua
2020-03-22;Bali;2;Kematian;Sunda Kecil
2020-03-22;Banten;3;Kematian;Jawa
2020-03-22;Yogyakarta;0;Kematian;Jawa
2020-03-22;Jakarta;29;Kematian;Jawa
2020-03-22;Jawa Barat;9;Kematian;Jawa
2020-03-22;Jawa Tengah;3;Kematian;Jawa
2020-03-22;Jawa Timur;1;Kematian;Jawa
2020-03-22;Kalimantan Barat;0;Kematian;Kalimantan
2020-03-22;Kalimantan Timur;0;Kematian;Kalimantan
2020-03-22;Kalimantan Tengah;0;Kematian;Kalimantan
2020-03-22;Kalimantan Selatan;0;Kematian;Kalimantan
2020-03-22;Kepulauan Riau;0;Kematian;Sumatera
2020-03-22;Sulawesi Utara;0;Kematian;Sulawesi
2020-03-22;Sumatera Utara;1;Kematian;Sumatera
2020-03-22;Sulawesi Tenggara;0;Kematian;Sulawesi
2020-03-22;Sulawesi Selatan;0;Kematian;Sulawesi
