tanggal;bulan;tahun;nilai;nama;kategori
2020-02-29;Pebruari;2020;0;Terkonfirmasi (orang);Terkonfirmasi
2020-03-01;Maret;2020;2;Terkonfirmasi (orang);Terkonfirmasi
2020-03-02;Maret;2020;2;Terkonfirmasi (orang);Terkonfirmasi
2020-03-03;Maret;2020;2;Terkonfirmasi (orang);Terkonfirmasi
2020-03-04;Maret;2020;2;Terkonfirmasi (orang);Terkonfirmasi
2020-03-05;Maret;2020;4;Terkonfirmasi (orang);Terkonfirmasi
2020-03-06;Maret;2020;4;Terkonfirmasi (orang);Terkonfirmasi
2020-03-07;Maret;2020;4;Terkonfirmasi (orang);Terkonfirmasi
2020-03-08;Maret;2020;6;Terkonfirmasi (orang);Terkonfirmasi
2020-03-09;Maret;2020;19;Terkonfirmasi (orang);Terkonfirmasi
2020-03-10;Maret;2020;27;Terkonfirmasi (orang);Terkonfirmasi
2020-03-11;Maret;2020;34;Terkonfirmasi (orang);Terkonfirmasi
2020-03-12;Maret;2020;34;Terkonfirmasi (orang);Terkonfirmasi
2020-03-13;Maret;2020;69;Terkonfirmasi (orang);Terkonfirmasi
2020-03-14;Maret;2020;96;Terkonfirmasi (orang);Terkonfirmasi
2020-03-15;Maret;2020;117;Terkonfirmasi (orang);Terkonfirmasi
2020-03-16;Maret;2020;134;Terkonfirmasi (orang);Terkonfirmasi
2020-03-17;Maret;2020;172;Terkonfirmasi (orang);Terkonfirmasi
2020-03-18;Maret;2020;227;Terkonfirmasi (orang);Terkonfirmasi
2020-03-19;Maret;2020;309;Terkonfirmasi (orang);Terkonfirmasi
2020-03-20;Maret;2020;369;Terkonfirmasi (orang);Terkonfirmasi
2020-03-21;Maret;2020;450;Terkonfirmasi (orang);Terkonfirmasi
2020-03-22;Maret;2020;514;Terkonfirmasi (orang);Terkonfirmasi
2020-03-23;Maret;2020;579;Terkonfirmasi (orang);Terkonfirmasi
2020-03-24;Maret;2020;686;Terkonfirmasi (orang);Terkonfirmasi
2020-03-25;Maret;2020;790;Terkonfirmasi (orang);Terkonfirmasi
2020-03-26;Maret;2020;893;Terkonfirmasi (orang);Terkonfirmasi
2020-03-27;Maret;2020;1046;Terkonfirmasi (orang);Terkonfirmasi
2020-03-28;Maret;2020;1155;Terkonfirmasi (orang);Terkonfirmasi
2020-03-29;Maret;2020;1285;Terkonfirmasi (orang);Terkonfirmasi
2020-03-30;Maret;2020;1414;Terkonfirmasi (orang);Terkonfirmasi
2020-03-31;Maret;2020;1528;Terkonfirmasi (orang);Terkonfirmasi
2020-04-01;April;2020;1677;Terkonfirmasi (orang);Terkonfirmasi
2020-04-02;April;2020;1790;Terkonfirmasi (orang);Terkonfirmasi
2020-04-03;April;2020;1986;Terkonfirmasi (orang);Terkonfirmasi
2020-04-04;April;2020;2092;Terkonfirmasi (orang);Terkonfirmasi
2020-04-05;April;2020;2273;Terkonfirmasi (orang);Terkonfirmasi
2020-04-06;April;2020;2491;Terkonfirmasi (orang);Terkonfirmasi
2020-04-07;April;2020;2738;Terkonfirmasi (orang);Terkonfirmasi
2020-04-08;April;2020;2956;Terkonfirmasi (orang);Terkonfirmasi
2020-04-09;April;2020;3293;Terkonfirmasi (orang);Terkonfirmasi
2020-04-10;April;2020;3512;Terkonfirmasi (orang);Terkonfirmasi
2020-04-11;April;2020;3842;Terkonfirmasi (orang);Terkonfirmasi
2020-04-12;April;2020;4241;Terkonfirmasi (orang);Terkonfirmasi
2020-04-13;April;2020;4557;Terkonfirmasi (orang);Terkonfirmasi
2020-04-14;April;2020;4839;Terkonfirmasi (orang);Terkonfirmasi
2020-04-15;April;2020;5136;Terkonfirmasi (orang);Terkonfirmasi
2020-04-16;April;2020;5516;Terkonfirmasi (orang);Terkonfirmasi
2020-04-17;April;2020;5923;Terkonfirmasi (orang);Terkonfirmasi
2020-04-18;April;2020;6248;Terkonfirmasi (orang);Terkonfirmasi
2020-04-19;April;2020;6575;Terkonfirmasi (orang);Terkonfirmasi
2020-04-20;April;2020;6760;Terkonfirmasi (orang);Terkonfirmasi
2020-04-21;April;2020;7135;Terkonfirmasi (orang);Terkonfirmasi
2020-04-22;April;2020;7418;Terkonfirmasi (orang);Terkonfirmasi
2020-04-23;April;2020;7775;Terkonfirmasi (orang);Terkonfirmasi
